Data,Dia_da_Semana,Produto,Preco,Quantidade
2025-06-01,Sunday,Produto C,50.0,12
2025-06-01,Sunday,Produto D,15.0,9
2025-06-02,Monday,Produto A,20.0,4
2025-06-02,Monday,Produto B,35.0,5
2025-06-02,Monday,Produto C,50.0,5
2025-06-02,Monday,Produto D,15.0,1
2025-06-03,Tuesday,Produto A,20.0,6
2025-06-03,Tuesday,Produto B,35.0,6
2025-06-03,Tuesday,Produto C,50.0,6
2025-06-03,Tuesday,Produto D,15.0,6
2025-06-04,Wednesday,Produto A,20.0,3
2025-06-04,Wednesday,Produto B,35.0,5
2025-06-04,Wednesday,Produto C,50.0,2
2025-06-04,Wednesday,Produto D,15.0,5
2025-06-05,Thursday,Produto A,20.0,3
2025-06-05,Thursday,Produto B,35.0,3
2025-06-05,Thursday,Produto C,50.0,5
2025-06-05,Thursday,Produto D,15.0,11
2025-06-06,Friday,Produto A,20.0,7
2025-06-06,Friday,Produto B,35.0,7
2025-06-06,Friday,Produto C,50.0,4
2025-06-06,Friday,Produto D,15.0,1
2025-06-07,Saturday,Produto A,20.0,10
2025-06-07,Saturday,Produto B,35.0,9
2025-06-07,Saturday,Produto C,50.0,7
2025-06-07,Saturday,Produto D,15.0,6
2025-06-08,Sunday,Produto A,20.0,7
2025-06-08,Sunday,Produto B,35.0,12
2025-06-08,Sunday,Produto C,50.0,8
2025-06-08,Sunday,Produto D,15.0,7
2025-06-09,Monday,Produto A,20.0,8
2025-06-09,Monday,Produto B,35.0,5
2025-06-09,Monday,Produto C,50.0,9
2025-06-09,Monday,Produto D,15.0,4
2025-06-10,Tuesday,Produto A,20.0,2
2025-06-10,Tuesday,Produto B,35.0,4
2025-06-10,Tuesday,Produto C,50.0,1
2025-06-10,Tuesday,Produto D,15.0,4
2025-06-11,Wednesday,Produto A,20.0,3
2025-06-11,Wednesday,Produto B,35.0,5
2025-06-11,Wednesday,Produto C,50.0,6
2025-06-11,Wednesday,Produto D,15.0,6
2025-06-12,Thursday,Produto A,20.0,4
2025-06-12,Thursday,Produto B,35.0,4
2025-06-12,Thursday,Produto C,50.0,5
2025-06-12,Thursday,Produto D,15.0,1
2025-06-13,Friday,Produto A,20.0,9
2025-06-13,Friday,Produto B,35.0,7
2025-06-13,Friday,Produto C,50.0,5
2025-06-13,Friday,Produto D,15.0,4
2025-06-14,Saturday,Produto A,20.0,8
2025-06-14,Saturday,Produto B,35.0,8
2025-06-14,Saturday,Produto C,50.0,4
2025-06-14,Saturday,Produto D,15.0,10
2025-06-15,Sunday,Produto A,20.0,11
2025-06-15,Sunday,Produto B,35.0,12
2025-06-15,Sunday,Produto C,50.0,13
2025-06-15,Sunday,Produto D,15.0,11
2025-06-16,Monday,Produto A,20.0,7
2025-06-16,Monday,Produto B,35.0,10
2025-06-16,Monday,Produto C,50.0,4
2025-06-16,Monday,Produto D,15.0,5
2025-06-17,Tuesday,Produto A,20.0,6
2025-06-17,Tuesday,Produto B,35.0,6
2025-06-17,Tuesday,Produto C,50.0,8
2025-06-17,Tuesday,Produto D,15.0,4
2025-06-18,Wednesday,Produto A,20.0,3
2025-06-18,Wednesday,Produto B,35.0,3
2025-06-18,Wednesday,Produto C,50.0,9
2025-06-18,Wednesday,Produto D,15.0,7
2025-06-19,Thursday,Produto A,20.0,2
2025-06-19,Thursday,Produto B,35.0,2
2025-06-19,Thursday,Produto C,50.0,4
2025-06-19,Thursday,Produto D,15.0,6
2025-06-20,Friday,Produto A,20.0,9
2025-06-20,Friday,Produto B,35.0,11
2025-06-20,Friday,Produto C,50.0,4
2025-06-20,Friday,Produto D,15.0,7
2025-06-21,Saturday,Produto A,20.0,11
2025-06-21,Saturday,Produto B,35.0,9
2025-06-21,Saturday,Produto C,50.0,14
2025-06-21,Saturday,Produto D,15.0,11
2025-06-22,Sunday,Produto A,20.0,18
2025-06-22,Sunday,Produto B,35.0,10
2025-06-22,Sunday,Produto C,50.0,6
2025-06-22,Sunday,Produto D,15.0,8
2025-06-23,Monday,Produto A,20.0,3
2025-06-23,Monday,Produto B,35.0,2
2025-06-23,Monday,Produto C,50.0,9
2025-06-23,Monday,Produto D,15.0,6
2025-06-24,Tuesday,Produto A,20.0,3
2025-06-24,Tuesday,Produto B,35.0,6
2025-06-24,Tuesday,Produto C,50.0,3
2025-06-24,Tuesday,Produto D,15.0,2
2025-06-25,Wednesday,Produto A,20.0,8
2025-06-25,Wednesday,Produto B,35.0,4
2025-06-25,Wednesday,Produto C,50.0,5
2025-06-25,Wednesday,Produto D,15.0,4
2025-06-26,Thursday,Produto A,20.0,3
2025-06-26,Thursday,Produto B,35.0,4
2025-06-26,Thursday,Produto C,50.0,3
2025-06-26,Thursday,Produto D,15.0,11
2025-06-27,Friday,Produto A,20.0,6
2025-06-27,Friday,Produto B,35.0,5
2025-06-27,Friday,Produto C,50.0,5
2025-06-27,Friday,Produto D,15.0,5
2025-06-28,Saturday,Produto A,20.0,11
2025-06-28,Saturday,Produto B,35.0,8
2025-06-28,Saturday,Produto C,50.0,7
2025-06-28,Saturday,Produto D,15.0,6
2025-06-29,Sunday,Produto A,20.0,13
2025-06-29,Sunday,Produto B,35.0,5
2025-06-29,Sunday,Produto C,50.0,6
2025-06-29,Sunday,Produto D,15.0,7
2025-06-30,Monday,Produto A,20.0,3
2025-06-30,Monday,Produto B,35.0,7
2025-06-30,Monday,Produto C,50.0,3
2025-06-30,Monday,Produto D,15.0,6
